Tweet ID,Creator account,Text,Timestamp
1706679600518926757,@immunefi,RT @decryptmedia: Security Platform Immunefi Launches Smart Contract Bug Bounty Vaults ► https://t.co/Emy8FjfIRO https://t.co/Emy8FjfIRO,2023-09-26T14:38:19.000Z,https://twitter.com/immunefi/status/1706679600518926757
1706679111102484485,@DeDotFiSecurity,"@DeDotFi 2/ By analyzing the popular tokens on @DeDotFi Crypto Market, you can see some of them growing endlessly.  We found a token called ""Pepe"" that gained 10x in 24 hours.  But here's the catch... and the tool that opened my eyes https://t.co/U227zS4Inv",2023-09-26T14:36:23.000Z,https://twitter.com/DeDotFiSecurity/status/1706679111102484485
1706677181928054847,@immunefi,"The Immunefi Vaults System v1 is now live.  Projects who want to boost trust with whitehats to get more high-quality bug reports can now deposit assets into their own secure, sovereign vault.  Signing up for a vault is free, easy, and quick.  Let's go.  https://t.co/NikhF09cpn",2023-09-26T14:28:43.000Z,https://twitter.com/immunefi/status/1706677181928054847
1706671118952673636,@CertiKAlert,"#CertiKSkynetAlert 🚨  Chase U.K. have announced that as of 16 October 2023 they will reject any payments from users relating to cryptocurrency.  They join a number of other banks in the UK that also block crypto payments, citing high levels of fraud.  Read more 👇 https://t.co/GYJs76PBmj",2023-09-26T14:04:37.000Z,https://twitter.com/CertiKAlert/status/1706671118952673636
1706669893918290386,@immunefi,https://t.co/5QTDV8J6Xs,2023-09-26T13:59:45.000Z,https://twitter.com/immunefi/status/1706669893918290386
1706668388867817766,@DoraHacks,"RT @CosmoverseHQ: 1/ The Hacker Lounge can be found on the 7th floor, on the left side of the conference entrance ⏭️ https://t.co/wWgA1luOiL",2023-09-26T13:53:46.000Z,https://twitter.com/DoraHacks/status/1706668388867817766
1706668346727674111,@DoraHacks,"RT @CosmoverseHQ: Cosmoverse goes multi-stage this year 🔥  If you enjoy technical talks, make sure to check out the hacker lounge sponsored…",2023-09-26T13:53:36.000Z,https://twitter.com/DoraHacks/status/1706668346727674111
1706663059668783297,@CertiKAlert,#CertiKSkynetAlert 🚨  A new phishing campaign utilizing the Xenomorph Trojan has begun targeting institutions from the US as well as crypto wallet providers.  Phishing sites are used to trick victims into downloading malicious APKs  See more below 👇  https://t.co/uk0d37ETkx,2023-09-26T13:32:36.000Z,https://twitter.com/CertiKAlert/status/1706663059668783297
1706662876386296039,@immunefi,T-minus 30 minutes. https://t.co/JQX54FSJjH https://t.co/KPoQt42U3U,2023-09-26T13:31:52.000Z,https://twitter.com/immunefi/status/1706662876386296039
1706661760013656087,@DoraHacks,"RT @Cosmoverse_ES: Cosmoverse se vuelve multistage este año 🔥.  Si te gustan las charlas técnicas, no dejes de visitar el hacker lounge pat…",2023-09-26T13:27:26.000Z,https://twitter.com/DoraHacks/status/1706661760013656087
1706661589552955885,@DeDotFiSecurity,"Come join us at the Official Eth Milan Opening Party Hosted by @DeDotFi, Oct 4th 2023 🥳  Connect with some of the top players in Web3 over a drink 🥂 while enjoying Milan’s stunning scenery.  🙌 FREE Entry! No code is required! https://t.co/vcH4mkpjO4 https://t.co/015ya14hxb",2023-09-26T13:26:45.000Z,https://twitter.com/DeDotFiSecurity/status/1706661589552955885
1706653425134346643,@DeDotFiSecurity,@DeDotFi @etherscan 7/ And that's it!  If you enjoyed this thread: 1. Follow us @DeDotFi and turn on notifications so you don't miss out! 2. Retweet the 1st tweet of this thread to help inspire others: https://t.co/xXChuufAIi,2023-09-26T12:54:19.000Z,https://twitter.com/DeDotFiSecurity/status/1706653425134346643
1706653313507205562,@DeDotFiSecurity,"@DeDotFi @etherscan 6/ The third trade is less profitable: $PEPE:  ➮ Bought: 575,672 PEPE ➮ Total PNL: +$3,050 ➮ Total purchase price: $318 https://t.co/sBvNgRxFFV",2023-09-26T12:53:52.000Z,https://twitter.com/DeDotFiSecurity/status/1706653313507205562
1706653183827755396,@DeDotFiSecurity,"@DeDotFi @etherscan 5/ The second trade by profit margin: $TIP:  ➮ Bought: 7,202,135 TIP ➮ Total PNL: +$20,100 ➮ Total purchase price: $3,282  According to @DeDotFi, website, he was able to make a $20.1K profit thanks to this deal. https://t.co/ZHKNLdx7fX",2023-09-26T12:53:21.000Z,https://twitter.com/DeDotFiSecurity/status/1706653183827755396
1706653054244655429,@DeDotFiSecurity,"@DeDotFi @etherscan 4/ The first deal that made him the biggest profit: $APX:  ➮ Bought: 634,726,834 APX ➮ Total PNL: +$33,918 ➮ Total purchase price: $4,885  This coin was purchased prior to launch and sold at the highest ATH. https://t.co/o9IyxAyKZh",2023-09-26T12:52:50.000Z,https://twitter.com/DeDotFiSecurity/status/1706653054244655429
1706652923080421408,@DeDotFiSecurity,"@DeDotFi @etherscan 3/ He managed to make $80,575 trading shitcoins.  He has been trading for about two weeks now and has made a lot of trades!  Let's analyze all his trades. 👇 https://t.co/PwfqIoj3Nx",2023-09-26T12:52:19.000Z,https://twitter.com/DeDotFiSecurity/status/1706652923080421408
1706652811306377224,@DeDotFiSecurity,@DeDotFi 2/ The first thing We did would go to the @DeDotFi Crypto Market.  To Look at Ethereum's growing memcoins.  Then We looked up the owners of that token on @etherscan and found this wallet.  Let's move into his trades with @DeDotFi https://t.co/CiEkmyLT34,2023-09-26T12:51:52.000Z,https://twitter.com/DeDotFiSecurity/status/1706652811306377224
1706632244205338729,@DeDotFiSecurity,"RT @BingX_Italy: Siamo felicissimi di annunciare di essere Media Partner della ""Web3 Security Conference 2023"" che si terrà il 4 Ottobre a…",2023-09-26T11:30:09.000Z,https://twitter.com/DeDotFiSecurity/status/1706632244205338729
1706626626841186428,@DeDotFiSecurity,"Media Partner Announcement 👀🙌  We are thrilled to introduce our new media partner: ✨📰 @Cointelegraph. The leader in Bitcoin, Ethereum &amp; blockchain news.  Check out their Press Release on the event coming soon!  Get Your Ticket Now! 👇 https://t.co/SeGH2dZX9h https://t.co/Wv0r1EBlXc",2023-09-26T11:07:50.000Z,https://twitter.com/DeDotFiSecurity/status/1706626626841186428
1706626490262044913,@CertiKAlert,"#CertiKSkynetAlert 🚨  Taiwan's Financial Supervisory Commission has published guidelines for ""Managing Virtual Asset Platform and Trading Business (VASP)""  The guidelines aim to enhance customer protection in several key areas  Read more here 👇 https://t.co/ehdwBUjPsc",2023-09-26T11:07:17.000Z,https://twitter.com/CertiKAlert/status/1706626490262044913
1706619338822709286,@CertiKAlert,#CertiKSkynetAlert 🚨  Beware of a fake Banana Gun airdrop being promoted on X  Do not interact with hxxps://bananagun.co/  Site connects to a wallet drainer.   https://t.co/sdfiEPLLxq,2023-09-26T10:38:52.000Z,https://twitter.com/CertiKAlert/status/1706619338822709286
1706600900071207234,@DoraHacks,RT @linera_io: We're going live with coding workshop #2!   https://t.co/FPGMIrdSwa,2023-09-26T09:25:36.000Z,https://twitter.com/DoraHacks/status/1706600900071207234
1706594965101687076,@SlowMist_Team,"🚨SlowMist Security Alert🚨  Recently, a well-known exchange suffered a false top-up attack from #Aptos.   According to analysis by the SlowMist security team, Aptos’ coin transfer mechanism made an important update on January 15, 2023. Prior to this, the recipient had to… https://t.co/ZbQrvaqtAH https://t.co/qKCYicV766",2023-09-26T09:02:01.000Z,https://twitter.com/SlowMist_Team/status/1706594965101687076
1706567615345496415,@SlowMist_Team,🤩Our product leader is sharing security and anti-money laundering challenges in the #Web3 industry on #EDGE. https://t.co/jGfxPtPVZx,2023-09-26T07:13:20.000Z,https://twitter.com/SlowMist_Team/status/1706567615345496415
1706561621403877606,@CertiKAlert,This can deceive the target into believing that they are interacting with a familiar address and instead send funds to the attacker's wallet.  Always be vigilant in verifying any address that you interact with on blockchains!,2023-09-26T06:49:31.000Z,https://twitter.com/CertiKAlert/status/1706561621403877606
1706553793964396839,@CertiKAlert,"#CertiKSkynetAlert  🚨  We are seeing transfers of fake stables by 0x84Cd.  The fraudulent technique, known as zero-value phishing, involves an attacker impersonating a real address using the same first and last few characters as an address in a victim's wallet.  Stay vigilant!",2023-09-26T06:18:25.000Z,https://twitter.com/CertiKAlert/status/1706553793964396839
1706509354667839717,@PeckShieldAlert,"#PeckShieldAlert #CoinEx Drainer holds 137.128M $TRX (worth ~$11.63M) on #TRON, which constitutes 0.1541% of the total supply, making it the 66th largest $TRX holder. (Total $TRX supply: 89B.)  #LazarusGroup https://t.co/I3QF1i5eFu",2023-09-26T03:21:50.000Z,https://twitter.com/PeckShieldAlert/status/1706509354667839717
1691773245006004496,BlockSecTeam,Deploy Uniswap contracts inside @Phalcon_xyz Phalcon Fork. The Etherscan-like Phalcon Scan can browse all transactions and addresses. Take a look at deployed Uniswap V2 contracts. https://t.co/SnRDmkASC9 Read more -> https://t.co/LaBAP6vRZz https://t.co/wptVA0tHig https://t.co/1DK0DchvKP,2023-08-16T11:25:47.000Z
1691766141042020590,CertiKAlert,"@TornadoCash 2/ The newly minted fake tokens are then used to “borrow” assets from the SwirlLend contracts, effectively draining them. Assets were then swapped for ETH. The funds were then bridged to Etherum and deposited into Tornado Cash https://t.co/pZeOtMLVw5",2023-08-16T10:57:34.000Z
1691766136369488240,CertiKAlert,@TornadoCash 1/ The deployer was able to drain funds in the SwirlLend contracts by “borrowing” against a token that they created. The token was a fake stablecoin with the price feed set to an ETH price aggregator.,2023-08-16T10:57:33.000Z
1691758973723242699,PeckShieldAlert,@SwirlLend #PeckShieldAlert #Rugpull SwirlLend scammers have already laundered 253.2 $ETH (~$462.6K) via #TornadoCash https://t.co/ow49qUxY9h,2023-08-16T10:29:05.000Z
1691754985967792628,SlowMist_Team,"🚨#SwirlLend has been rugged🚨 The scammer stole assets from #Base and #Linea and bridged to #Ethereum. The scammer's address on Ethereum has swapped 32,641.56 $USDC for 17.88 $ETH, then transferred 254.2 $ETH to TornadoCash. According to @MistTrack_io, the scammer has used… https://t.co/Ao66dzxL88 https://t.co/4msMoo6eOe",2023-08-16T10:13:14.000Z
1691751656663196089,DoraHacks,"👋GM hackers at @ETH_Toronto & @Ethereum_Women hackathons! Exciting times as you make friends & finalize projects, right? 📽️For smooth project submissions, our guidance video has you covered. Check it out here! 👇 https://t.co/XlMoN8N08B #ETHToronto #ETHWomen",2023-08-16T10:00:00.000Z
1691751481484194049,BeosinAlert,"SwirlLend on #BASE and #Linea rug pulled, resulting in over $500,000 in losses. The project owning privileged addresses borrowed over 230 $ETH from the lending pools, and also swapped out 47 $ETH from the trading pools using $SWI tokens. The profits were bridged to Ethereum via… https://t.co/L9zlelEHz2 https://t.co/v7uUir2XyX",2023-08-16T09:59:19.000Z
1691744747948302354,CertiKAlert,#CertiKSkynetAlert 🚨 We have seen an exit scam on SwirlLend on Base and Linea The funds have been bridged to the deployers Ethereum wallet. Total losses are ~$460k. Funds have been deposited into @TornadoCash https://t.co/nWzap9IT7q,2023-08-16T09:32:33.000Z
1691724382983565822,BlockSecTeam,"After the upgrade of BSCScan, MetaDock has completed the adaptation! Users who have installed it from the web store will automatically receive the upgrade. We welcome you to Fork and Star on GitHub https://t.co/igvUobKXkN https://t.co/tgs553STh0",2023-08-16T08:11:38.000Z
1691722297433039140,PeckShieldAlert,@SwirlLend Update: SwirlLend rugged both on #Base and #Linea. The scammer has already bridged ~94 $ETH from #Linea to #Ethereum via Orbiter Finance: Bridge and and is currently in the process of transferring the stolen funds from #Base to #Ethereum The current balance of the scammer's… https://t.co/dZefr65ZRA https://t.co/zexiNuFVhs,2023-08-16T08:03:21.000Z
1691719373571186925,PeckShieldAlert,"#PeckShieldAlert #Rugpull SwirlLend on #Base has been rugged. The TVL of SwirlLend has dropped from $784.3K to $49.2K. @SwirlLend has already deleted its social platform. The deployer has already bridged ~$289.5K worth of cryptos from #Base to #Ethereum, including 140.68 $ETH… https://t.co/ifuogXkVdr https://t.co/O0fFjA7zKR",2023-08-16T07:51:43.000Z
1691713646798275005,0xVazi,@code4rena Is there a public example repo of such bot?,2023-08-16T07:28:58.000Z
1691700143144194324,AegisWeb3,"🚨 TOKEN RISK ALERT 🚨 Be cautious with a new token $SNM(https://t.co/AcmGYFkGLK), which has a market cap of $11.6 million and liquidity of $1 million. However, several security risks are associated with this token: ⚠️The Ownership not renounced ⚠️The token was created by a… https://t.co/jtUw60ulYA https://t.co/JrXkP27igC",2023-08-16T06:35:19.000Z
1691664889872261397,CertiKAlert,#CertiKSkynetAlert 🚨 Beware of a fake PepeCoin airdrop being promoted on social media Do not interact with hxxps://pepecoin-claim.online/ Site connects to a known wallet drainer Stay safe! https://t.co/S6ZMsEciUr,2023-08-16T04:15:14.000Z
1691660149084377577,PeckShieldAlert,#PeckShieldAlert #Rugpull The @RocketSwap_Labs exploiter labeled address has deployed $LoveRCKT2.0 within the last hour and has already removed liquidity (57.83T $LoveRCKT2.0 & 35 $ETH ) $LoveRCKT2.0 has dropped -90% https://t.co/eE1FP05q4d https://t.co/FHEdM6eYwa,2023-08-16T03:56:23.000Z
1691650515204227284,BlockSecTeam,"RT @MetaDockTeam: Dear MetaDock Users, due to recent upgrades on BSCScan, MetaDock has temporarily become incompatible with the site. We'v…",2023-08-16T03:18:06.000Z
1691639734802473220,AegisWeb3,"🚨PHISHING SITE ALERT🚨 🎣 Phishing Site: usdcoin[.]finance @etherscan @bscscan ⚠️Phishing Contract/Address: 0x000014FB8dcA1D855ecAB28f955B17F20D0A0000 0xA0EC2733E8Aef26Dab0BE9abFBACD9eF337740E3 Beware of the phishing contract that is present on multiple chains, including… https://t.co/WsACd0Nxgm https://t.co/kiTqa24HxM",2023-08-16T02:35:16.000Z
1691639227325501606,PeckShieldAlert,@RocketSwap_Labs #PeckShieldAlert The @RocketSwap_Labs exploiter ($LoveRCKT deployer) has sold 2.5T #LoveRCKT for 20.33 #WETH https://t.co/ZtiS4Vrb97,2023-08-16T02:33:15.000Z
1691626956952043597,PeckShieldAlert,"#PeckShieldAlert #UraniumFinance exploiter-labeled address has bridged ~2m $USDC from #BNBChain to #Ethereum and swapped them for ~1,075.6 $ETH, and then transferred 1,000 $ETH to #TornadoCash https://t.co/4TIe0ryH9t",2023-08-16T01:44:30.000Z
1691604229905875135,code4rena,5/5 🔍Ready to experience the thrill of the race? Keep an eye on our Twitter and Discord as they happen in the first hour of every audit contest. Learn more: https://t.co/viimxttmIU,2023-08-16T00:14:11.000Z
1691604228697899425,code4rena,"4/5 💰With up to 10% of the contest pool dedicated to Bot Race prizes, the rewards are real! The best Bot Race report also becomes the official source for known issue submissions. Major stakes here, folks!",2023-08-16T00:14:11.000Z
1691604227418698051,code4rena,"3/5 🏆Stage 2: The Bot Race! The first hour of each audit competition is solely for the bots. Their reports are then assessed for quality, validity, and thoroughness. The top bot report enjoys a 30% share bonus.",2023-08-16T00:14:10.000Z
1691604226143563966,code4rena,"2/5 🏁In the first phase, Bot Crews race against time to qualify for future participation.     Their bots are tasked with delivering a high-quality and thorough audit report, based on a provided repo.     The top 20 bots qualify for the competitions. Fast and furious!",2023-08-16T00:14:10.000Z
1691604224956617182,code4rena,1/5 💨Bot races are an innovative way to integrate AI &amp; human skills in Web3 audit competitions.     The objective? To create the most comprehensive vulnerability reports.,2023-08-16T00:14:10.000Z
1691604223782240697,code4rena,🤖🏁Bot Races are now a mainstay in the Code4rena platform.    So what exactly are they?    Time for a thread 🧵,2023-08-16T00:14:10.000Z
1691595426053677231,samczsun,"Been seeing some concerns around centralization and speech-policing, so wanted to make it clear:  SEAL 911 is NOT meant to be the only ""approved"" method to report bugs. If you have contacts already, you should use them! The point is to be a resource to those who don't. https://t.co/oBGI0aXEyU",2023-08-15T23:39:12.000Z
1691578009902370844,DoraHacks,Nearly 50 submissions have been approved at the ongoing @NibiruChain flagship hackathon🙌   This all-inclusive hackathon welcomes project building on any topic with the integration with the #NibiruChain with prize pool of $150K in $NIBI!  Join us now👇 https://t.co/FHyC14a4sd,2023-08-15T22:30:00.000Z
1691566583410315775,immunefi,RT @auditsea: Good time to dive into @immunefi !!!,2023-08-15T21:44:35.000Z
1691545411855515648,Intell_On_Chain,Last night the whole community came together and prevented people from having all of their crypto stolen!!  Scam websites and Discord. (Do NOT navigate to these links) ⚠️//Dragonary.org @Namecheap This is a request to take down their website please  ⚠️//discord.gg/dragonaryland… https://t.co/ESiZ1JJ0hH https://t.co/pSv1QOihDZ,2023-08-15T20:20:28.000Z
1691534755299225601,CertiKAlert,"#CertiKSkynetAlert 🚨  We have seen movement of funds into @TornadoCash from the Uranium Finance Exploiter.  The EOA 0x59d77 deposited 1,100 ETH (~$2M) into Tornado Cash.  Stay vigilant! https://t.co/cUelBAyAIg",2023-08-15T19:38:07.000Z
1691531697139937281,CertiKAlert,The site connects to known phishing contract on ethereum: 0x63605E53D422C4F1ac0e01390AC59aAf84C44A51   Do NOT interact with the following announcement 👇 https://t.co/4j7WUQyCki,2023-08-15T19:25:58.000Z
1691530268614545410,CertiKAlert,#CertiKSkynetAlert 🚨  @ceramicnetwork have announced that their Discord server has been compromised and a phishing site has been posted in announcements.  Do not click on any links until the team has confirmed they’ve regained control of the server.  https://t.co/tA4q3e52wn,2023-08-15T19:20:17.000Z
1691527929191178240,Intell_On_Chain,"⚠️📼 New videos uploaded to YouTube!📼⚠️  Subscribe today: https://t.co/DA6Vft89Mn  Within the last 24 hrs, I've uploaded 2 new videos including our analysis on both the #ViCAFoundation and $APE Coin!  To view these videos you must go to our member's only page on the website… https://t.co/Lc27tzZ26h",2023-08-15T19:11:00.000Z
1691520966537670658,DoraHacks,How's your project building going w/ #opBNB and #BNBGreenfield ? 👀  Last week to join @BNBCHAIN Hackvolution to compete for the up to $90K prize pool by forking your projects with #opBNB / utilizing #BNBGreenfield storage🙌  Submit a demo by this week👇 https://t.co/TxlaEWkWYH,2023-08-15T18:43:20.000Z
1691518277028356096,DoraHacks,RT @SecretNetwork: Attention developers - here's another hackathon opportunity for you!  Secret and @Shade_Protocol are taking part in the…,2023-08-15T18:32:38.000Z
1691516400735551488,zachxbt,The issue was flagged to their team prior to posting and is now fixed.,2023-08-15T18:25:11.000Z
1691514780119343104,zachxbt,It looks like the personal details of ape owners who signed up for the ‘Made by Apes’ initiative from @SaaSyLabs @yugalabs was being leaked. https://t.co/QNWkxpQ15U,2023-08-15T18:18:45.000Z
1691483139686711296,code4rena,"The report is in for @xETH_Dev's Invitational audit &amp; Mitigation Review with Code4rena🔎  Total findings: High risk: 0 total Medium risk: 19 total, 10 unique  Congrats to adriro for being the top report author for both Gas &amp; QA   Read more ➡️ https://t.co/JWGRVSRHgj https://t.co/rCRc4yJdbC",2023-08-15T16:13:01.000Z
1691466386600812545,realScamSniffer,"If you sign, you could become a victim like this person who lost $1 million by signing an ""increase Allowance"" transaction.  https://t.co/gE1ll5xdlx",2023-08-15T15:06:27.000Z
1691466380720410624,realScamSniffer,"phishing site trying to steal my token's approval by launching an ""increase Allowance"" transaction. https://t.co/WFUuCK4uUD",2023-08-15T15:06:25.000Z
1691466377260113921,realScamSniffer,beware of the phishing sites impersonating @CyberConnectHQ   scammers created more than 20 phishing sites impersonating them in the last few days! https://t.co/ZI6qXe8CMP,2023-08-15T15:06:24.000Z
1691464773886713856,DoraHacks,We're LIVE now 🔴 https://t.co/mc595WySct,2023-08-15T15:00:02.000Z
1691461761650884611,immunefi,New bug bounty is coming up soon! https://t.co/PuJiePuLVH,2023-08-15T14:48:04.000Z
1691461656654823424,CertiKAlert,"@TornadoCash The deployer has deposited a further 400 BNB into @TornadoCash.  In total, 800 BNB has been deposited into the mixer.  https://t.co/fHfTdJ7dG5",2023-08-15T14:47:39.000Z
1691460689544777728,DoraHacks,RT @0xPolygonDevs: Couldn't make the EMEA Hackathon Opening Ceremony?   We've got you covered - Highlights by @DoraHacks💥  https://t.co/WLJ…,2023-08-15T14:43:48.000Z
1691459376484401153,CertiKAlert,#CertiKSkynetAlert 🚨  Beware of a fake Stargate airdrop being promoted on social media  Do not interact with hxxps://stargatepass.finance/  Site connects to a known wallet drainer  https://t.co/7J71VQRMy2,2023-08-15T14:38:35.000Z
1691454656701177856,DeDotFiSecurity,RT @DeDotFi: 🚨 We Launched our Crypto's First Antivirus on @zksync!  ⚡️ We are Excited to Announce that all zkSync users will now benefit f…,2023-08-15T14:19:50.000Z
1691453309406818304,DoraHacks,"Dora Grant DAO Round 4 Applicants Demo Ep02 coming soon! 🔥 Welcome the presenters: @Fioletxyz, @SplitProtocol, @tryzendmart, @TechyDom, @sudostake, @D3LAB_DAO. 🙌  ⏰ August 16th 10:30PM SGT 📺 Binance: https://t.co/vPZJbHvQBm 📺 Youtube: https://t.co/7eFdCeri0Q https://t.co/KiJvAkwX7h",2023-08-15T14:14:29.000Z
1691449671460515840,DoraHacks,Join us in 1h! 🙌,2023-08-15T14:00:01.000Z
1691449671347060736,DoraHacks,"Time to build on #Akash!! You don't have to submit a perfect product, just impress the judges with your innovative idea✨  Submit now👇 https://t.co/I9MsvI8GfN",2023-08-15T14:00:01.000Z
1691449625604190208,Mudit__Gupta,It's kinda hilarious that SBF is going to the same jail that Shkreli once went to.  SBF is gonna come back as a milady as well and start doing twitter spaces? https://t.co/2LEvwaiijD,2023-08-15T13:59:51.000Z
1691440770358857728,DoraHacks,RT @pegonetwork: 📢 Calling all #developers who are in search of a new challenge! 💪  🧑‍💻 The #PEGONetwork #Hackathon is now live on @DoraHac…,2023-08-15T13:24:39.000Z
1691440510609829889,DoraHacks,RT @w3coins_io: 🚀 Exciting News for Developers! @SecretNetwork joins @ETH_Toronto Hackathon hosted by @DoraHacks. An inclusive hybrid event…,2023-08-15T13:23:37.000Z
1691412971501531137,DeDotFiSecurity,4/ Remember to DYOR before investing in any new token. You can easily avoid SCAM tokens using  @DeDotFi Web3 Antivirus for FREE ⬇️  https://t.co/b1pxeRKJFh  Stay Vigilant 🛡 -y,2023-08-15T11:34:11.000Z
1691412967684702208,DeDotFiSecurity,3/ @DeDotFi Web3 Antivirus detected this scam token from the start. If you check the contract with https://t.co/b1pxeRKJFh it will show 3 high-risk issues:  - Mixer Utilized - Known Scam Wallet - Creator Rug Pull Risk https://t.co/nmkEvZEOiU,2023-08-15T11:34:11.000Z
1691412964484448256,DeDotFiSecurity,2/ Tx: https://t.co/vrY0GjC08B  Funds movement can be tracked (Stolen $ETH currently sit on his add): https://t.co/zcjkSKFglf https://t.co/Od3kAUm9KX,2023-08-15T11:34:10.000Z
1691412961095536640,DeDotFiSecurity,"🚨 Rug Pull Alert 🚨  We have detected a large liquidity removal. $SAW deployer 0x5707...oved ~88 $ETH ($160K), draining the LP.  Wallet initially was funded from TornadoCash and EOA known for rug pulling before.  🧵  Here are the on-chain transaction details 👇 https://t.co/FJ4AzYSsKO",2023-08-15T11:34:09.000Z
1691359947085271040,DeDotFiSecurity,"4/  Scan any token/NFT/vault and detect risks faster than ever, using our Telegram Security Bot: https://t.co/u4iV7M96hs  🛡️ Stay safe 🛡️ -y",2023-08-15T08:03:29.000Z
1691359944589623296,DeDotFiSecurity,"3/ Attack happened due to the offline signatures used during deployment and private key storage on the server. The attacker exploited a proxy contract used for the farm contract, leading to unauthorized asset transfers.  https://t.co/MNv6BHU2VC",2023-08-15T08:03:29.000Z
